cloud,visibility_km,visibility_miles,air_quality
25,10,6,22.2
25,0,0,2.4
0,7,4,44.3
8,10,6,46.3
75,21,13,0.8
17,10,6,19.1
50,10,6,8.6
25,10,6,3
40,10,6,12
34,10,6,12.6
75,10,6,2.2
75,9,5,19.1
25,10,6,3.6
0,10,6,35.7
25,10,6,12.4
100,9,5,16.4
50,10,6,31.5
0,10,6,3.2
75,10,6,2.7
89,9,5,2.5
75,10,6,3
50,10,6,2.6
75,10,6,9.8
0,10,6,71.6
54,10,6,4.3
0,10,6,19.2
25,10,6,6.2
100,5,3,1.2
75,10,6,10.5
50,10,6,2.6
100,10,6,2.3
51,10,6,1
88,10,6,10.4
0,10,6,9.4
75,10,6,65.2
88,9,5,8.9
0,10,6,1.4
50,9,5,2.4
46,10,6,10.7
25,10,6,2
75,10,6,5.7
100,10,6,5.9
0,10,6,16.6
0,9,5,1.6
25,10,6,3.3
25,10,6,16
0,10,6,22.7
84,10,6,5.7
75,10,6,2
25,10,6,0.7
50,10,6,5.2
0,10,6,13
100,10,6,9
64,10,6,1.7
50,10,6,33.7
70,10,6,4.1
0,10,6,32.9
50,10,6,3.4
100,16,9,0.6
0,7,4,3.3
25,10,6,6.3
75,1,0,2.7
75,10,6,8.5
0,10,6,35
43,10,6,26.9
3,10,6,7.3
4,10,6,6.6
0,10,6,7.7
75,10,6,4.2
25,10,6,1.9
46,2,1,1
75,8,4,8.9
50,10,6,4.5
0,10,6,10.8
0,10,6,1.6
75,10,6,1.1
0,10,6,2.4
18,10,6,1.9
75,10,6,2.5
0,10,6,40.8
28,10,6,82.6
50,10,6,5.8
37,10,6,7
0,10,6,5.9
25,10,6,1.6
50,10,6,10.9
68,2,1,10
0,10,6,4.7
0,10,6,1.4
0,10,6,26.5
15,10,6,2
75,10,6,1.9
25,10,6,6.5
79,9,5,43.6
6,10,6,43.5
0,10,6,1.1
75,10,6,9.8
75,10,6,2.8
61,7,4,4.5
75,24,14,0.5
0,10,6,7.6
0,10,6,20.4
0,10,6,180.3
0,10,6,142.2
13,10,6,9.8
2,10,6,2.5
8,10,6,17.6
75,10,6,20.7
75,10,6,4.1
50,9,5,5.4
0,10,6,26.9
25,10,6,6.1
8,10,6,17.6
0,10,6,5.2
10,10,6,13.8
50,10,6,4.3
50,10,6,10.4
85,10,6,31.7
0,10,6,36.5
25,10,6,18.7
48,10,6,1
74,10,6,32.5
75,10,6,7.9
0,10,6,23.6
75,10,6,161
75,10,6,4.1
100,7,4,6.9
100,10,6,7
50,10,6,7.1
75,10,6,1.2
0,10,6,2.9
0,10,6,7
100,10,6,10.2
0,10,6,8.3
25,10,6,2.5
25,10,6,133.9
50,10,6,1.5
50,6,3,2.4
25,10,6,1.4
100,10,6,4.6
25,10,6,14.1
25,10,6,15.8
0,10,6,23.7
100,10,6,0.5
25,3.5,2,47.4
25,4,2,347
50,8,4,10
0,10,6,17.7
75,10,6,2.2
0,10,6,19.4
25,10,6,14.1
25,10,6,4
25,10,6,13.3
0,6,3,15.4
0,10,6,1
75,10,6,6.5
75,9,5,1.3
0,10,6,26.2
94,10,6,4.4
46,10,6,19.8
100,10,6,5.1
75,6,3,20.6
0,10,6,55.2
75,10,6,2.2
75,10,6,3
75,10,6,2.8
100,10,6,8.4
0,10,6,4.3
75,10,6,2.6
0,10,6,7.7
25,9,5,88.8
84,10,6,1.1
25,10,6,11.7
25,10,6,5.6
75,24,14,0.7
88,10,6,2
25,10,6,3.2
75,13,8,19.6
100,24,14,0.5
48,10,6,3.9
0,10,6,7.5
25,10,6,4.7
75,10,6,5.2
75,5,3,9
0,10,6,3.7
60,10,6,12.9
0,10,6,26.3
0,10,6,35.7
75,7,4,79.2
25,10,6,3.3
75,10,6,0.5
25,10,6,11.6
0,10,6,6.9
25,10,6,8.4
31,10,6,36.2
25,10,6,2.5
75,10,6,12.3
25,8,4,32.4
11,10,6,51.5
75,21,13,1.1
15,10,6,20
50,10,6,11.9
0,10,6,2.8
23,10,6,10.4
51,10,6,14
100,6,3,3
75,10,6,4.1
25,10,6,3.3
0,10,6,40.5
50,10,6,12.8
0,10,6,27.7
25,10,6,38.2
25,10,6,4.4
50,10,6,4.4
79,10,6,2
75,10,6,3.7
0,10,6,2.9
0,10,6,7
0,10,6,42.2
25,10,6,1.1
0,10,6,5.7
50,10,6,10
50,10,6,3.4
75,10,6,10.9
0,10,6,3.5
75,10,6,5.9
75,10,6,1.5
48,10,6,7.1
0,10,6,40.8
75,7,4,62.2
62,10,6,3.7
0,10,6,0.9
50,9,5,2.4
30,10,6,18.4
25,10,6,1.2
0,10,6,5.7
100,10,6,6.4
0,10,6,15.3
50,10,6,5.1
8,10,6,2
50,7,4,21.9
5,10,6,17.6
45,10,6,10.1
50,10,6,2.6
25,10,6,0.6
25,10,6,4.9
0,10,6,25.2
0,10,6,11.2
75,10,6,2.3
25,10,6,30
81,6,3,7.5
0,10,6,55.2
100,10,6,3
0,16,9,0.5
0,10,6,10
37,10,6,5
75,10,6,1.2
50,10,6,13.3
0,10,6,81.5
47,9,5,36.9
0,10,6,11.6
18,10,6,14.3
5,10,6,20.9
0,10,6,4.4
25,10,6,3.6
17,10,6,2
25,10,6,7.3
25,10,6,3.5
0,10,6,1.9
0,10,6,3.2
0,10,6,2.2
0,10,6,3.6
25,10,6,6.9
50,10,6,3.3
0,10,6,27.7
80,10,6,88.1
25,10,6,2.7
25,7,4,3
75,10,6,2.9
25,10,6,2.3
25,10,6,8.8
71,10,6,14.8
88,8,4,3.1
75,7,4,7.9
0,10,6,11.1
24,10,6,2.1
75,10,6,6
50,10,6,2.9
5,10,6,10.7
18,10,6,35.1
2,10,6,1.2
50,10,6,2.1
75,10,6,2.5
61,10,6,28.1
25,24,14,0.6
70,2,1,7.6
0,8,4,6.1
75,10,6,141.2
0,10,6,372.8
17,10,6,19.7
25,10,6,3.7
17,10,6,3.3
75,10,6,17.5
0,10,6,6.5
50,9,5,10.5
25,10,6,20.1
0,10,6,3
16,10,6,3.3
75,10,6,4.1
25,9,5,27.7
75,10,6,2.3
50,10,6,11.4
84,9,5,16.3
50,10,6,9
25,10,6,23.2
87,9,5,4.4
80,10,6,12
60,0.2,0,1.7
0,10,6,25.6
71,10,6,80.3
75,10,6,4
75,10,6,2.8
75,10,6,2.4
43,10,6,6.1
50,10,6,1
50,10,6,8.6
0,10,6,3.6
75,10,6,15
0,10,6,3.7
25,10,6,2.4
25,10,6,14.8
75,10,6,2
25,10,6,2.1
25,10,6,1.5
75,10,6,9.7
0,10,6,15.9
25,10,6,2.3
0,10,6,3.5
73,10,6,0.9
0,3.2,1,23.4
25,5,3,700.8
0,10,6,68.6
0,10,6,16.4
75,10,6,2.5
75,10,6,32.5
0,10,6,15.9
25,10,6,4.9
25,10,6,15.5
0,7,4,23.9
75,10,6,0.7
75,10,6,7.3
69,10,6,2.1
0,10,6,21.8
16,10,6,6.4
15,10,6,16.1
100,10,6,5.6
75,8,4,7.7
2,10,6,9.3
75,7,4,2
75,6,3,10.6
75,10,6,2.1
0,10,6,3.3
75,3,1,3.2
50,10,6,3.3
5,10,6,16.2
25,10,6,115.5
88,10,6,1.3
25,10,6,11.6
0,10,6,4.9
100,16,9,0.5
24,10,6,4.3
50,10,6,1.6
100,1.6,0,13.8
50,24,14,0.5
9,10,6,2.5
25,10,6,8.4
50,10,6,7.7
0,10,6,5.5
0,5,3,9
0,10,6,4.1
71,10,6,19.9
0,10,6,29.9
0,10,6,8.1
50,7,4,44.1
0,10,6,5.5
0,10,6,0.5
50,10,6,5.3
0,10,6,4.2
0,10,6,11.4
15,10,6,57.5
0,10,6,4.9
75,10,6,2.8
50,10,6,35.4
15,10,6,75.2
75,23,14,2.1
15,10,6,5.4
50,10,6,12.9
50,10,6,3.1
10,10,6,5.9
78,10,6,11.1
100,5,3,2.8
0,10,6,5.3
25,10,6,3.1
0,10,6,27.6
0,10,6,9.1
0,10,6,9.7
50,10,6,12.1
25,10,6,3.8
0,10,6,3.5
54,10,6,5.5
75,10,6,3.7
0,10,6,4.5
0,10,6,3.1
0,10,6,34.6
25,10,6,1.3
75,10,6,10.8
68,10,6,4.7
89,9,5,2.1
75,10,6,10.2
0,10,6,3.9
75,10,6,9.6
86,9,5,1.3
72,10,6,9.6
0,10,6,18.3
25,10,6,45.7
84,10,6,2.3
0,10,6,5.7
25,10,6,2.2
22,10,6,5.5
50,6,3,1.8
75,10,6,6.1
75,10,6,3.4
0,10,6,32.6
0,7,4,10.2
7,10,6,2.8
25,10,6,39.7
16,10,6,12.7
31,10,6,12
75,10,6,2.7
25,10,6,1.7
25,10,6,4.9
0,10,6,20.9
0,10,6,17.8
50,10,6,1
50,10,6,61.6
50,10,6,10
25,10,6,39.2
100,10,6,2.7
0,16,9,0.5
0,10,6,11.6
0,10,6,5.9
25,10,6,0.9
75,10,6,7.7
0,7,4,88.1
44,9,5,26.7
0,10,6,12.6
2,10,6,62.1
87,10,6,10.8
0,10,6,8.1
0,10,6,8.8
79,9,5,1.6
75,8,4,9.1
50,10,6,1.8
0,10,6,21.8
0,10,6,4.2
0,10,6,1.6
0,10,6,10.3
0,10,6,5.6
75,10,6,8
0,10,6,46
29,10,6,86
25,10,6,2.3
0,10,6,4.1
0,10,6,4.9
75,10,6,2.1
25,10,6,9.5
44,2,1,7.2
4,10,6,1.9
0,10,6,26.6
0,10,6,18.4
18,10,6,2.5
75,10,6,1.9
75,10,6,9.4
0,10,6,22.8
11,10,6,53.3
2,10,6,1.2
75,10,6,3.3
50,10,6,1.7
59,7,4,11
0,24,14,1.9
25,7,4,5.1
22,10,6,14.7
100,10,6,146.6
0,10,6,342.2
6,10,6,9.6
1,10,6,3.7
0,8,4,19.7
100,10,6,16.5
0,10,6,13.3
25,9,5,3.6
0,10,6,13.5
0,10,6,11.6
0,8,4,19.7
0,10,6,8.6
8,10,6,23.7
25,10,6,1.8
50,10,6,8.8
86,10,6,31.9
0,10,6,13.7
75,10,6,7.5
100,7,4,4.4
77,10,6,25.2
0,10,6,5.4
34,10,6,6.2
25,10,6,222.1
75,10,6,2.9
25,10,6,6.7
75,10,6,83.2
75,10,6,6.1
75,10,6,2.4
37,10,6,17.2
0,10,6,6.4
75,10,6,9.2
25,10,6,15.9
25,10,6,1.3
100,10,6,3.6
75,10,6,13.6
25,8,4,2.5
50,10,6,2
50,9,5,12.4
0,10,6,26.8
75,10,6,1.5
0,10,6,25.4
100,7,4,1.7
6,10,6,21.7
25,5,3,563.6
0,10,6,72.5
0,10,6,18.4
75,5,3,6.9
