cloud,visibility_km,visibility_miles,air_quality
83,9,5,68.7
0,6,3,14.5
50,10,6,23.3
32,10,6,1.9
3,10,6,24
75,10,6,4.6
0,10,6,68.8
50,10,6,46.3
75,10,6,2.9
75,10,6,5.2
0,10,6,14.6
50,9,5,4.6
75,10,6,14.1
75,10,6,16.1
0,10,6,32.5
100,10,6,9.4
75,10,6,5.8
25,10,6,4.3
75,10,6,3.6
75,6,3,0.5
50,6,3,2.3
25,10,6,3.1
75,8,4,7
0,10,6,4
37,10,6,2.2
0,10,6,5.4
22,10,6,1.4
0,3.2,1,220.9
25,8,4,271.9
25,10,6,18.7
0,10,6,24.6
25,10,6,22.5
0,10,6,16
0,10,6,4
25,10,6,3.3
25,10,6,25.7
0,5,3,15.7
100,10,6,1.3
75,10,6,15.6
79,10,6,1.6
0,10,6,46
21,10,6,2.3
31,10,6,10.4
0,10,6,6.4
0,10,6,43.9
0,10,6,47.2
75,10,6,4.3
25,10,6,9.9
0,10,6,14.4
0,10,6,3.9
0,10,6,7.6
75,10,6,5.2
8,10,6,5.7
25,9,5,74.2
68,10,6,2.5
25,10,6,18.6
0,10,6,17.9
50,32,19,0.9
8,10,6,8.7
50,10,6,5.3
100,13,8,23.2
100,24,14,0.5
50,10,6,1.4
0,10,6,14
25,10,6,13.8
0,10,6,2.3
0,5,3,5.4
75,10,6,23.4
100,7,4,3.7
0,10,6,7.7
50,10,6,8.4
75,8,4,167.9
0,10,6,10.4
100,10,6,1.3
50,10,6,7.4
0,10,6,10.9
25,10,6,19
13,10,6,29.1
75,10,6,1.2
75,10,6,2
0,10,6,31.4
18,10,6,67.9
100,16,9,1.2
47,10,6,2
50,10,6,7.8
50,10,6,3
29,10,6,1.8
32,10,6,7.5
100,10,6,5
0,10,6,13
75,10,6,4.8
0,10,6,55.4
0,10,6,4.7
0,10,6,5.2
50,10,6,21.5
25,10,6,2.7
25,10,6,2.8
11,10,6,5.2
75,10,6,3.2
0,10,6,3.9
0,10,6,44.4
0,10,6,29.1
75,8,4,6.9
0,10,6,2.8
50,10,6,2.1
75,6,3,1.2
75,9,5,13.7
0,10,6,9.3
25,10,6,11.5
25,10,6,0.5
39,10,6,9.7
0,10,6,53.7
75,10,6,14.4
17,10,6,3.4
25,9,5,6.5
25,10,6,1.8
5,10,6,16.5
25,9,5,2.6
0,10,6,7.2
0,8,4,14
0,10,6,22.1
0,10,6,7.8
7,10,6,2.1
25,10,6,20.5
0,10,6,11.6
65,10,6,3.6
25,10,6,2.3
25,10,6,3.4
25,10,6,8.7
75,10,6,7.1
0,10,6,17.3
75,10,6,1.9
50,10,6,21.4
9,10,6,5.1
25,10,6,45.5
0,10,6,36.4
0,16,9,0.7
50,10,6,2.3
0,10,6,4.7
75,10,6,3.9
50,10,6,8.1
0,6,3,74
0,10,6,30.9
4,10,6,17.2
3,10,6,19.5
0,10,6,7.2
75,10,6,2.9
25,10,6,13.6
4,10,6,12.3
75,9,5,6.9
62,10,6,1.5
0,10,6,1.7
0,10,6,18
0,10,6,4.4
0,10,6,14.8
0,10,6,25.8
25,10,6,2.6
0,9,5,98
59,10,6,38.8
50,10,6,2.2
0,10,6,6.6
0,10,6,11.9
25,10,6,4.1
50,10,6,10.4
36,10,6,9.1
5,10,6,0.8
75,10,6,8.9
0,10,6,76.2
15,10,6,6.7
75,10,6,7.1
100,10,6,6.2
25,10,6,26.3
85,10,6,24.4
3,10,6,2.8
50,10,6,4.5
50,10,6,7.1
60,2,1,9.8
25,24,14,16.9
0,10,6,1.9
25,7,4,9.3
75,5,3,814.3
0,2.8,1,360
25,10,6,7.6
25,10,6,3.2
0,8,4,6.7
75,10,6,17.4
0,10,6,8.8
50,9,5,25.2
0,10,6,13.7
0,10,6,27.7
0,8,4,6.7
0,10,6,9.4
0,10,6,61.4
50,10,6,1.4
50,10,6,13.1
3,10,6,11.2
0,10,6,18.2
25,10,6,7.3
50,10,6,3.1
6,10,6,34.9
25,10,6,1
41,10,6,21.1
75,10,6,24.8
25,10,6,1.8
0,10,6,1
0,10,6,75.6
50,10,6,4.6
75,10,6,2.6
0,10,6,14.9
0,10,6,14.4
0,10,6,10.4
75,10,6,7.6
25,10,6,1.1
75,10,6,33.1
75,5,3,3.9
25,8,4,1
50,10,6,3.2
75,7,4,12
0,10,6,5.5
37,10,6,2.6
0,10,6,8.3
100,10,6,2
75,3,1,110.7
25,4,2,467
25,10,6,49.7
0,10,6,27.5
50,10,6,25.8
0,10,6,19.6
0,10,6,5.5
25,10,6,6.2
75,10,6,65.8
0,6,3,16.6
75,10,6,5.2
50,10,6,31.3
30,10,6,4
0,10,6,49.4
3,10,6,7.9
38,2,1,7.7
0,10,6,9.3
50,10,6,13
0,10,6,7.7
75,10,6,6.1
75,8,4,5.2
0,10,6,18.7
50,10,6,7.5
0,10,6,9.1
25,10,6,5.9
3,10,6,7.6
25,8,4,81.3
87,9,5,1
50,4,2,11.8
37,10,6,11.6
75,24,14,2.8
42,10,6,6.8
25,10,6,3.9
75,14,8,11.5
75,24,14,0.5
8,10,6,0.8
0,10,6,18.2
0,10,6,37.6
0,10,6,4.4
50,5,3,2.6
75,10,6,12
54,10,6,2.1
0,10,6,10
75,10,6,6.3
50,8,4,200.8
0,10,6,14.9
100,10,6,2.2
50,10,6,4
0,10,6,4.6
25,10,6,9.5
5,10,6,14.2
75,10,6,5
75,10,6,0.7
0,10,6,37.8
38,10,6,79.4
75,23,14,0.6
28,10,6,0.7
25,10,6,15.7
100,10,6,3.3
23,10,6,4.8
79,10,6,4.1
75,9,5,10.2
0,10,6,13.3
50,10,6,8.7
25,7,4,204.7
0,10,6,6.2
0,10,6,3.9
75,10,6,25
50,10,6,1.8
25,10,6,1.5
66,10,6,2.5
75,10,6,2.3
0,10,6,4.1
0,10,6,12.8
0,10,6,36.5
25,10,6,4.4
0,10,6,7.2
50,10,6,5
55,10,6,11.4
75,10,6,37.1
0,10,6,9.3
0,10,6,12.2
25,10,6,0.7
51,10,6,9.6
0,10,6,60.1
0,10,6,18.7
44,10,6,4.5
0,9,5,16.8
25,10,6,2.1
4,10,6,27.6
25,10,6,2.6
100,10,6,1.4
0,10,6,19.4
0,10,6,19.1
0,10,6,8.6
6,10,6,2.7
50,10,6,20.6
6,10,6,13.7
18,10,6,5.8
25,10,6,1.3
25,10,6,1.5
50,10,6,7.4
0,10,6,25.9
0,10,6,11
75,10,6,2.3
25,10,6,11.2
0,10,6,4.7
0,8,4,33.3
0,10,6,21.2
0,16,9,2
0,10,6,3.8
0,10,6,11.3
75,10,6,7.1
50,10,6,4.6
0,7,4,30.5
4,10,6,40.8
0,10,6,19.7
0,10,6,11.1
6,10,6,11.7
75,10,6,3.7
25,10,6,7
6,10,6,5.4
0,10,6,9.7
50,10,6,1.3
0,10,6,1.2
0,10,6,15.4
0,10,6,2.7
0,10,6,10
25,10,6,18.1
25,10,6,1.8
0,4.5,2,44.4
100,10,6,10.1
25,10,6,2.6
0,10,6,1.9
0,10,6,21.5
50,10,6,1.8
25,10,6,7.8
34,10,6,10.3
70,9,5,0.8
0,10,6,8.1
0,10,6,5.6
24,10,6,10.8
75,7,4,1.5
100,10,6,7.2
20,10,6,29
78,9,5,42.3
3,10,6,5.4
75,6,3,3.6
50,9,5,4.6
62,2,1,54.5
75,24,14,7.1
25,8,4,18.9
0,6,3,20.7
100,6,3,65.1
0,2.8,1,376.7
50,10,6,6.9
1,10,6,3.8
75,8,4,5.3
75,10,6,13.8
0,10,6,7.4
37,8,4,4.4
25,10,6,14.5
0,10,6,20
75,8,4,5.3
75,10,6,5.3
44,10,6,66.2
75,10,6,1.5
25,10,6,13.2
79,10,6,17.9
0,10,6,17.5
25,10,6,28.3
25,10,6,3.3
5,10,6,18.8
0,10,6,0.6
69,2,1,11.5
14,10,6,34.6
50,10,6,1.6
0,10,6,1.6
0,10,6,21.9
50,10,6,4.5
75,10,6,1.6
0,10,6,1.5
0,10,6,19.5
75,10,6,8.6
75,7,4,5.3
25,10,6,0.8
75,2,1,27.6
55,10,6,3.6
25,10,6,2.3
25,10,6,2.2
50,9,5,15.5
0,10,6,11.6
37,10,6,1.8
0,10,6,12.4
100,2,1,0.8
75,3.2,1,410.9
25,5,3,895.1
0,10,6,40.4
0,10,6,37.8
50,10,6,6.8
0,10,6,10.2
0,10,6,11.6
75,10,6,14.5
75,10,6,14.9
0,6,3,11.5
75,10,6,4.2
70,9,5,59.4
75,10,6,5.7
0,10,6,40.6
31,10,6,6.5
41,2,1,11.9
0,10,6,3.7
0,10,6,9.9
0,10,6,9.7
25,10,6,5.6
75,10,6,5.9
0,10,6,29.7
0,10,6,2
0,10,6,13.6
25,10,6,12.8
6,10,6,11.2
25,10,6,58.4
53,10,6,0.7
25,10,6,48.3
25,10,6,7.1
75,24,14,0.5
21,10,6,4.1
50,10,6,2
100,9.7,6,12.1
100,24,14,0.5
27,10,6,1.7
0,10,6,13.8
75,10,6,0.5
0,10,6,4.9
50,5,3,4.6
75,10,6,46.9
67,10,6,2.8
0,10,6,16.4
0,10,6,7.6
75,7,4,166.3
0,10,6,16.3
0,10,6,5.6
50,10,6,1.9
0,10,6,5.7
25,10,6,24.5
0,10,6,49.9
75,10,6,8.1
75,2,1,5.1
0,10,6,27.1
15,10,6,79.5
75,23,14,0.8
9,10,6,5
50,9,5,2.7
75,10,6,27
19,10,6,1.1
34,10,6,6.2
25,10,6,36
0,10,6,29.6
25,10,6,6.3
0,3.2,1,62.2
0,10,6,4
0,10,6,0.8
75,10,6,32.1
25,10,6,1.7
25,10,6,2.3
61,10,6,0.8
50,10,6,2.8
0,10,6,6.3
0,10,6,30.3
0,10,6,36.5
50,10,6,4.5
0,10,6,8.4
50,10,6,5.1
75,10,6,6.4
75,9,5,9.6
0,10,6,8.4
25,10,6,15.3
50,10,6,3
40,10,6,7.4
0,10,6,58.2
25,10,6,39.8
6,10,6,14.1
0,10,6,15.2
75,8,4,1.8
0,10,6,40.7
50,10,6,2
0,10,6,3.1
0,10,6,22.1
0,10,6,18.8
0,10,6,6.1
13,10,6,2.5
25,10,6,35.2
9,10,6,13
45,10,6,7.5
50,10,6,1
25,10,6,1.3
25,10,6,9.2
0,10,6,7.1
0,10,6,17.5
100,10,6,3.7
66,10,6,6.1
4,10,6,6.5
0,10,6,58.6
0,10,6,34.6
0,16,9,1.3
100,10,6,1.4
0,10,6,20.4
75,10,6,4.7
50,10,6,21.6
0,10,6,60.6
8,10,6,43.2
0,10,6,38
0,10,6,42.2
5,10,6,41.1
0,10,6,1.9
50,10,6,8
5,10,6,4.4
25,10,6,8.2
25,10,6,1.3
75,10,6,4.4
0,10,6,0.8
50,10,6,2.9
0,10,6,15.4
25,10,6,3.6
50,10,6,3.8
0,7,4,55.6
100,10,6,4.7
25,10,6,1.5
0,10,6,5.1
0,10,6,13.3
25,10,6,1.5
25,10,6,7.2
21,10,6,4.5
7,10,6,1.1
0,10,6,11.4
0,10,6,12.6
7,10,6,7.5
75,10,6,1.5
25,10,6,6.8
84,10,6,79.7
79,9,5,45.7
77,10,6,3.3
25,10,6,2.7
75,9,5,71.5
69,10,6,10.7
75,24,14,14.2
83,9,5,1.8
0,8,4,15
75,10,6,273.1
0,2.8,1,296
7,10,6,7.5
25,10,6,4.4
20,10,6,3.3
100,10,6,8.4
0,10,6,5.9
25,9,5,3.2
0,10,6,9
0,10,6,21.5
87,9,5,3.3
0,10,6,11.7
9,10,6,44.1
75,10,6,1.4
50,10,6,11.1
81,10,6,36.7
0,10,6,21.9
25,10,6,27.6
75,8,4,2.6
31,9,5,12.2
25,10,6,1
0,10,6,12.7
37,10,6,110.5
50,10,6,6.2
25,10,6,1.5
0,10,6,273.7
75,10,6,3.4
75,9,5,1.9
75,10,6,2.1
0,10,6,14.6
25,10,6,10.7
25,10,6,5.4
25,10,6,2
75,10,6,10.3
75,10,6,2.9
25,8,4,5.6
25,10,6,2.8
37,9,5,30.4
0,10,6,15.4
25,10,6,0.5
0,10,6,9.6
100,10,6,0.6
75,2.5,1,82.9
25,10,6,725.9
50,10,6,34.2
0,10,6,19.7
50,4.5,2,39.3
0,10,6,6.4
0,10,6,15.4
62,10,6,8.9
75,1.5,0,4.1
0,6,3,5.8
50,10,6,4.3
75,10,6,36
51,10,6,4.1
0,10,6,83.2
14,10,6,16.4
31,10,6,15.1
0,10,6,19.9
0,8,4,10.1
10,10,6,38.4
75,9,5,3.2
75,10,6,16.1
0,10,6,44.3
0,10,6,18.9
0,10,6,14.2
25,10,6,8.7
4,10,6,7.7
25,9,5,143.2
56,10,6,0.7
25,10,6,43
25,10,6,13.9
75,24,14,1.1
18,10,6,2.5
25,10,6,2.4
50,13,8,126.1
100,24,14,0.5
26,10,6,0.5
0,10,6,18.5
0,10,6,3.4
0,10,6,6.9
0,5,3,5.9
0,10,6,8.8
88,10,6,1.9
0,10,6,13.5
50,10,6,5.6
75,7,4,19.9
0,10,6,20.2
0,10,6,1.9
50,10,6,6
0,9,5,19
25,10,6,38.7
0,10,6,86.4
25,10,6,6.8
0,0,0,12.1
0,10,6,28.8
2,10,6,74.7
75,23,14,0.9
6,10,6,7.7
50,10,6,3.2
50,10,6,12.4
89,9,5,4.5
10,10,6,7.9
50,7,4,76.3
0,10,6,7.7
75,10,6,4.8
0,9,5,60.3
0,10,6,5.5
0,10,6,0.7
50,10,6,21.7
25,10,6,1.3
0,10,6,1.5
36,10,6,4.5
75,10,6,1.5
0,10,6,8
0,10,6,18.3
0,10,6,116.2
75,3,1,1.7
0,10,6,14.4
50,10,6,2.9
65,10,6,3.5
75,10,6,14.5
0,10,6,9.3
0,10,6,17.4
25,9,5,2.6
3,10,6,7.4
0,10,6,170
0,10,6,42.1
2,10,6,6.2
0,10,6,11
50,9,5,2.3
28,10,6,29.8
25,10,6,3.3
0,10,6,2.1
0,10,6,29.3
0,10,6,18.6
0,10,6,8
25,10,6,2.9
25,10,6,19.6
14,10,6,16.9
5,10,6,7.3
50,10,6,6
25,10,6,1.1
25,10,6,10.2
0,10,6,5.4
0,10,6,29
75,10,6,1.7
25,10,6,59.2
0,10,6,2.3
0,10,6,57.8
25,10,6,38.3
0,16,9,2.7
100,3,1,9.2
25,10,6,10.7
75,10,6,3.2
0,9,5,22.9
75,9,5,121.1
0,10,6,32
0,10,6,13.4
0,10,6,22
0,10,6,9.4
0,10,6,6
25,10,6,8.3
4,10,6,4.1
50,9,5,8.6
50,10,6,3.7
0,10,6,8.9
25,10,6,0.7
0,10,6,0.6
0,10,6,14.3
25,10,6,3
75,10,6,1.6
0,10,6,45.2
48,10,6,19.1
25,10,6,1.6
0,10,6,5.5
0,8,4,34
50,10,6,2
75,3.2,1,5.7
72,2,1,3.6
0,10,6,0.8
0,10,6,8
0,10,6,26.6
16,10,6,5.3
75,10,6,4.5
0,10,6,6.5
44,10,6,52.4
75,9,5,42.3
17,10,6,3.2
25,10,6,3.2
75,9,5,27.4
100,0,0,8.2
75,24,14,5.9
25,7,4,1.3
0,7,4,17
75,10,6,194.1
100,6,3,157.6
0,10,6,4
18,10,6,4.6
0,10,6,3.9
100,10,6,10.4
0,10,6,9.6
25,9,5,3.2
0,10,6,15.4
25,10,6,14.6
0,10,6,3.9
0,10,6,24.3
0,10,6,27.7
37,10,6,1.4
50,10,6,5.9
70,10,6,33.9
0,10,6,22.8
25,10,6,20.7
75,8,4,1.4
4,10,6,22.4
60,0.6,0,8.9
0,10,6,30.6
75,10,6,72.9
62,10,6,6.2
0,9,5,23.4
0,10,6,27.9
100,10,6,5.6
50,10,6,0.8
100,9,5,1.7
0,10,6,16.8
100,10,6,8.8
25,10,6,5.6
25,10,6,1.5
75,10,6,4.7
50,10,6,1.6
50,6,3,1.3
25,10,6,4.8
19,9,5,20.2
0,10,6,22.5
47,10,6,0.7
0,10,6,13.8
92,10,6,1.7
100,1.6,0,55.2
25,4.5,2,503.5
0,10,6,36.5
0,10,6,15.4
50,10,6,51.5
50,10,6,27
0,10,6,22.5
25,10,6,6
75,10,6,4.6
0,7,4,26.6
0,10,6,3.1
75,10,6,10.6
23,10,6,2.4
0,10,6,45.8
3,10,6,12.3
74,10,6,8.8
75,10,6,24.1
0,10,6,15.3
0,10,6,49.2
75,10,6,3.3
50,10,6,15.8
0,10,6,31.6
0,10,6,6.7
0,10,6,25.1
75,10,6,6.9
0,10,6,10.2
25,8,4,131.6
44,10,6,0.9
25,10,6,13.9
0,10,6,46.3
50,32,19,2.3
12,10,6,58.1
25,10,6,1.5
62,16,9,15.8
75,24,14,1
100,10,6,0.5
0,10,6,15.5
0,10,6,6.1
0,10,6,7.8
50,5,3,3.1
75,10,6,8.9
71,2,1,1.4
0,10,6,126.8
0,10,6,6.6
75,8,4,16.7
0,4,2,35.7
0,10,6,2.1
50,10,6,2.4
0,10,6,18.2
0,10,6,5.3
13,10,6,108.8
0,10,6,12.2
0,0,0,20.8
0,10,6,24
6,10,6,74.3
100,19,11,1
4,10,6,40.1
50,10,6,4
31,10,6,7.3
30,10,6,10.3
2,10,6,9.2
25,7,4,59
0,10,6,102.1
25,10,6,3.7
0,10,6,93.4
0,10,6,7.4
75,10,6,1
50,10,6,26.6
25,10,6,3.8
50,10,6,6.5
30,10,6,0.8
50,10,6,1.5
0,10,6,12.8
0,2.2,1,34.8
0,10,6,70.3
22,10,6,8.4
0,10,6,14.2
50,10,6,2.6
86,9,5,2.3
50,10,6,16.5
0,10,6,8.6
0,10,6,23.2
80,9,5,0.8
37,10,6,4.1
0,10,6,79.9
0,8,4,80.6
6,10,6,5.8
75,10,6,5.8
50,9,5,1.3
86,10,6,21.6
50,10,6,8
25,8,4,12
0,10,6,32
0,10,6,24.4
0,10,6,9
25,10,6,4.8
25,10,6,18.7
5,10,6,4
4,10,6,6.6
75,10,6,6.4
25,10,6,1.2
25,10,6,12.7
0,10,6,9.2
75,10,6,25.5
75,10,6,1.2
25,10,6,17.1
49,10,6,4.9
0,10,6,53.6
100,10,6,52
0,16,9,2.3
0,10,6,14.4
37,10,6,5.6
75,10,6,7.7
0,10,6,19.5
100,10,6,33.3
0,10,6,19.6
0,10,6,17.9
3,10,6,68.8
0,10,6,8.9
0,10,6,7
0,10,6,10.2
8,10,6,3
75,9,5,7.4
50,10,6,3.8
0,10,6,9.9
37,10,6,1.3
0,10,6,4.3
0,10,6,12.1
50,10,6,5.4
50,10,6,4.5
0,10,6,50.2
35,10,6,36.6
50,10,6,2.4
0,10,6,5.7
0,10,6,16.9
50,10,6,1.9
25,10,6,3.9
25,10,6,2
0,10,6,1.3
0,10,6,6
0,10,6,32.3
25,10,6,8.6
75,10,6,3.3
0,10,6,7.5
89,10,6,25.5
70,10,6,12.4
3,10,6,1.5
50,10,6,4.1
50,10,6,6.8
57,10,6,10.7
75,24,14,4
0,8,4,0.5
0,8,4,13.1
75,10,6,168.8
25,3,1,262.9
5,10,6,8
17,10,6,2.4
0,8,4,9
50,10,6,5.2
0,10,6,19.2
50,8,4,2.1
0,10,6,19.3
0,10,6,25.1
0,8,4,9
0,10,6,39.5
3,10,6,12.1
25,10,6,2
75,10,6,2.5
88,10,6,34
0,10,6,15.5
50,10,6,5.1
25,10,6,1.6
5,10,6,30.2
0,10,6,5.1
0,10,6,23.1
17,10,6,31.6
62,10,6,6
75,10,6,7.4
0,10,6,123.9
50,10,6,3.6
75,10,6,1.8
0,10,6,2.6
0,10,6,17.2
75,10,6,5
25,10,6,4.9
25,10,6,3.1
25,10,6,4.6
75,6,3,1.1
50,6,3,1.4
25,10,6,3.2
37,10,6,34.8
0,10,6,20.8
25,10,6,0.5
0,10,6,24.2
100,10,6,0.5
100,2.1,1,39
25,5,3,347.9
0,10,6,9.2
0,10,6,29.5
25,10,6,2.7
50,10,6,16
0,10,6,20.8
25,10,6,4.7
50,10,6,41.3
0,7,4,17.5
37,10,6,3.1
75,10,6,8.4
78,9,5,0.5
0,10,6,32.5
4,10,6,4.6
80,10,6,15.4
0,10,6,6.1
75,8,4,13.3
0,10,6,39.9
75,9,5,0.9
75,10,6,11.3
0,10,6,26.6
0,10,6,5.7
0,10,6,30.6
25,10,6,3.2
0,10,6,10.6
25,10,6,195.1
67,10,6,1.8
25,10,6,22
0,10,6,42.6
50,32,19,0.5
7,10,6,17
75,10,6,2.6
62,19,11,0.9
75,24,14,1
25,10,6,0.5
0,10,6,19.2
75,10,6,0.8
0,10,6,5.6
0,5,3,1.4
0,10,6,5
53,10,6,1.3
0,10,6,50.7
0,10,6,4.7
75,7,4,23.2
0,10,6,46.5
100,10,6,3
50,10,6,1.8
0,10,6,5.1
25,10,6,4.4
77,2,1,75.7
0,10,6,7.7
100,2,1,25.3
0,10,6,45.5
13,10,6,95.4
100,11,6,1.2
5,10,6,57.9
75,10,6,1.7
75,10,6,3
10,10,6,0.8
22,10,6,4.7
25,10,6,27.6
0,10,6,7.3
0,10,6,11.4
0,10,6,51.7
0,10,6,4.3
0,10,6,5.9
50,10,6,4.7
25,10,6,2.2
25,10,6,1.2
28,10,6,1.9
50,10,6,1.6
0,10,6,22.6
0,10,6,17.6
0,10,6,34.9
50,10,6,6.8
0,10,6,11.3
50,10,6,4.2
75,10,6,1.3
75,10,6,13
0,10,6,12
0,10,6,30.5
75,10,6,1.2
41,10,6,3.5
0,10,6,64.4
0,10,6,95.2
6,10,6,1.7
75,5,3,2.7
25,10,6,2.1
2,10,6,28.1
25,10,6,3.3
100,7,4,26.6
0,10,6,27.8
0,10,6,17.2
0,10,6,13.9
10,10,6,2.3
25,10,6,25.7
22,10,6,7.9
3,10,6,10
25,10,6,4.8
25,10,6,4.5
25,10,6,16.1
0,10,6,2.9
0,10,6,20.2
75,10,6,0.5
25,10,6,10
0,10,6,2.5
0,10,6,55.1
0,10,6,32.7
0,16,9,2.9
0,10,6,14.9
25,10,6,11.2
75,10,6,7.4
0,9,5,17.6
0,7,4,22.4
0,10,6,15.8
0,10,6,24.4
2,10,6,35
0,10,6,6.9
0,10,6,5.8
25,10,6,14.7
16,10,6,5.4
0,10,6,8.6
25,10,6,2.1
0,10,6,6.3
0,10,6,1.3
0,10,6,1.6
0,10,6,14.6
25,10,6,0.9
50,10,6,9.6
0,10,6,40.8
86,10,6,17.4
25,10,6,2.1
0,10,6,4.3
0,10,6,19.9
50,10,6,1.3
50,10,6,19.3
39,10,6,3.1
0,10,6,1.2
0,10,6,12.3
0,10,6,18.1
18,10,6,6.1
75,10,6,1.1
0,10,6,9.5
7,10,6,22.3
74,10,6,23.1
4,10,6,1.8
50,10,6,8.5
50,10,6,2.6
83,2,1,11.9
75,24,14,5.8
22,10,6,2.4
0,8,4,21.9
100,10,6,294.6
75,2.5,1,163.5
12,10,6,6.2
3,10,6,3.8
55,10,6,6.9
50,2,1,5.2
0,10,6,26.1
50,8,4,3.3
25,10,6,17.6
0,10,6,52.9
47,10,6,6.9
75,4,2,17.6
50,8,4,17.1
50,10,6,3.2
75,10,6,2.6
19,10,6,12.5
0,10,6,13.1
25,10,6,6.3
20,10,6,1.3
2,10,6,42.4
25,10,6,16.2
0,10,6,14
75,10,6,97.4
50,10,6,4
75,0.9,0,24.2
0,10,6,15.8
100,10,6,5.2
50,10,6,1.1
0,10,6,1.9
0,10,6,23.2
50,10,6,8.6
25,10,6,5.2
25,10,6,2.1
25,10,6,3.3
50,10,6,0.7
50,8,4,1.8
0,10,6,3.5
50,10,6,13.1
0,10,6,24.6
37,10,6,0.8
0,10,6,23.8
100,10,6,0.5
75,2.5,1,56.7
25,7,4,480.2
0,6,3,6.2
0,10,6,21.2
75,10,6,2.8
25,10,6,16.5
0,10,6,24.6
25,10,6,19.9
25,10,6,26.6
0,7,4,12.2
0,10,6,3.4
75,10,6,7.6
62,10,6,0.5
0,10,6,35.6
5,10,6,8.3
38,10,6,15.4
0,10,6,20.7
25,8,4,10.6
0,10,6,94.3
75,10,6,1.3
75,10,6,4.3
0,10,6,27.5
0,10,6,4.1
0,10,6,22
25,10,6,3.1
0,10,6,8
25,10,6,33.8
71,10,6,0.8
25,10,6,31.5
25,10,6,45.3
100,24,14,0.7
9,10,6,17.6
50,8,4,3.7
75,19,11,3.4
75,24,14,0.5
5,10,6,0.9
0,10,6,24.6
25,10,6,0.9
0,10,6,8
25,5,3,3.5
0,10,6,4.9
100,10,6,1.6
0,10,6,17.6
0,10,6,4.6
75,6,3,28.7
0,10,6,47.3
75,10,6,1.7
25,10,6,1.2
0,10,6,6.7
0,10,6,7
21,10,6,59.1
0,10,6,11.6
100,0,0,15
0,10,6,25.2
8,10,6,125.6
100,19,11,1.3
14,10,6,31
50,10,6,1.2
75,10,6,6
14,10,6,2.2
12,10,6,9.3
25,10,6,44.2
0,10,6,25.7
50,10,6,6.1
0,10,6,33.9
0,10,6,5.8
0,4.4,2,9.7
75,9,5,13.1
50,10,6,2.4
25,10,6,1.9
51,10,6,1.3
50,10,6,1.2
0,10,6,24.8
0,10,6,38.8
0,10,6,41.7
50,10,6,10.7
0,10,6,31.4
50,10,6,7.6
91,10,6,1.4
75,8,4,18.3
0,10,6,10.9
0,10,6,35.6
75,10,6,2.1
44,10,6,3.9
0,10,6,64.4
75,10,6,95.1
6,10,6,2.6
25,10,6,4.6
25,10,6,1.7
18,10,6,41
23,10,6,4
0,0.2,0,5.8
0,10,6,29.3
0,10,6,12.6
0,10,6,15.2
6,10,6,2.1
50,10,6,12.4
10,10,6,2.3
10,10,6,8.9
25,10,6,5.7
25,10,6,1.9
25,8,4,13.9
0,10,6,4.5
100,7,4,58.4
75,10,6,0.7
25,10,6,16.6
3,10,6,14.5
0,10,6,74.2
75,10,6,34.8
0,16,9,2.4
75,10,6,6.5
0,4,2,11.7
75,10,6,4.4
0,9,5,51.1
0,10,6,47.7
2,10,6,18.4
0,10,6,22.1
0,10,6,20.9
0,10,6,13.3
0,10,6,12.1
50,10,6,15
16,10,6,4.7
25,10,6,6.5
25,10,6,2.5
0,10,6,5.3
0,10,6,0.8
75,10,6,3.6
0,10,6,17.1
37,10,6,3
5,10,6,4.6
0,7,4,80.6
86,10,6,13
25,10,6,2.6
0,10,6,8.2
0,10,6,7.7
50,10,6,3.5
50,10,6,6.3
100,0,0,2
3,10,6,3.7
0,10,6,14.3
0,10,6,5.2
26,10,6,16.6
75,9,5,0.9
0,10,6,16.3
0,10,6,21.1
44,10,6,38
0,10,6,1.7
25,10,6,6.6
50,10,6,8.5
68,2,1,4.7
75,24,14,1.7
25,8,4,0.5
25,8,4,18.8
0,10,6,103.7
0,10,6,63.4
7,10,6,6.4
9,10,6,1.6
0,8,4,3.1
50,10,6,10.4
0,10,6,30.5
75,9,5,2.6
75,7,4,10.2
0,10,6,31.7
0,8,4,5.4
100,1.2,0,33.7
6,10,6,19.4
50,10,6,3
50,10,6,4.4
21,10,6,12.2
0,3,1,82.3
25,10,6,8.9
25,10,6,3.1
2,10,6,18.1
25,10,6,29.7
100,10,6,2.1
23,10,6,121.8
25,10,6,5.3
0,5,3,29.9
37,10,6,26
75,10,6,5
75,9,5,4.2
100,10,6,4.7
0,10,6,46.8
75,10,6,8.1
25,10,6,2.9
25,10,6,2
25,10,6,4.5
50,10,6,0.6
25,10,6,2
25,10,6,5.8
25,10,6,18.2
0,10,6,36.4
37,10,6,0.7
0,10,6,23.8
15,10,6,0.5
50,3,1,77.8
25,5,3,450.8
0,10,6,27.9
0,10,6,12.8
75,5,3,2.4
0,10,6,11.2
0,10,6,36.4
50,10,6,12.1
25,10,6,22.2
0,5,3,12.9
100,10,6,1.1
75,10,6,10.6
31,10,6,0.5
0,10,6,17.1
29,10,6,1.5
67,2,1,8.4
0,10,6,15
0,10,6,10.6
11,10,6,0.9
75,10,6,3.7
25,10,6,3.5
0,10,6,18.5
0,10,6,7.9
0,10,6,18
25,10,6,6
2,10,6,5.1
25,10,6,73.3
49,10,6,0.7
