latitude,longitude,temperature_fahrenheit,wind_mph
15.35,44.21,77.5,4.0
-15.42,28.28,67.6,11.9
-17.82,31.04,66.2,10.5
34.52,69.18,70.3,2.2
41.33,19.82,71.6,3.8
36.76,3.05,66.2,2.2
42.5,1.52,37.2,4.7
-8.84,13.23,69.8,6.9
17.12,-61.85,84.2,10.5
-34.59,-58.67,51.8,9.4
40.18,44.51,64.4,3.8
-35.28,149.22,60.8,9.4
48.2,16.37,59.0,9.4
40.4,49.88,73.4,13.6
25.08,-77.35,86.0,12.5
26.24,50.58,91.4,5.6
23.72,90.41,87.1,2.2
13.1,-59.62,82.4,16.1
53.9,27.57,68.0,4.3
50.83,4.33,53.6,5.6
17.25,-88.77,75.9,2.7
6.48,2.62,78.8,11.9
27.48,89.6,64.9,3.4
-19.04,-65.26,55.4,4.3
43.85,18.38,60.8,2.2
-24.65,25.91,48.2,5.6
-2.08,-58.17,80.4,3.4
4.88,114.93,89.6,8.1
42.68,23.32,62.6,4.3
12.37,-1.52,76.3,11.0
-3.38,29.36,72.5,2.2
-24.37,46.45,55.8,2.9
14.93,-23.51,78.8,6.9
11.55,104.92,89.6,8.1
5.47,10.42,62.4,2.9
45.42,-75.7,68.0,5.6
4.37,18.58,73.4,2.2
12.11,15.05,75.2,10.5
-33.45,-70.67,55.4,10.5
39.93,116.39,84.2,2.2
43.32,24.7,65.3,3.6
-11.7,43.24,73.9,15.0
-4.26,15.28,75.2,4.3
9.97,-84.08,73.4,4.3
45.8,16.0,60.8,4.3
23.13,-82.36,80.6,9.4
35.17,33.37,71.6,4.3
50.08,14.47,55.4,6.9
-4.3,15.3,75.2,4.3
55.67,12.58,57.2,3.8
11.6,43.15,91.4,6.9
15.3,-61.4,82.9,12.3
18.47,-69.9,80.6,2.2
-0.22,-78.5,52.7,4.3
30.05,31.25,78.8,3.8
13.71,-89.2,80.6,2.2
3.75,8.78,75.4,6.7
15.33,38.93,64.8,2.2
59.43,24.73,57.2,6.9
-26.32,31.13,45.7,3.6
9.03,38.7,57.2,9.4
-18.13,178.42,78.8,16.1
60.18,24.93,53.6,5.6
48.87,2.33,57.2,2.2
0.38,9.45,77.0,8.1
13.45,-16.58,75.2,6.9
41.73,44.79,68.0,3.8
52.52,13.4,57.2,5.6
5.55,-0.22,78.8,10.5
37.98,23.72,78.8,5.6
12.05,-61.75,80.6,5.6
14.62,-90.53,64.8,4.3
9.51,-13.71,77.0,2.2
11.85,-15.58,76.6,9.8
6.8,-58.17,78.8,2.2
18.54,-72.34,86.0,17.4
41.9,12.45,62.6,5.6
14.1,-87.22,77.0,2.2
47.5,19.08,60.8,3.8
63.83,-20.4,50.0,11.6
28.6,77.2,84.2,6.9
-6.21,106.85,86.0,2.2
35.73,51.33,71.6,11.9
33.34,44.39,82.4,2.5
53.33,-6.25,51.8,12.5
31.78,35.23,77.0,6.9
41.9,12.48,62.6,5.6
17.97,-76.75,87.8,18.6
35.69,139.69,93.2,6.9
31.95,35.93,69.8,2.2
51.18,71.43,60.8,13.6
-1.28,36.82,60.8,11.9
-0.88,169.53,83.3,6.3
29.37,47.96,91.8,7.6
42.87,74.6,73.4,2.2
-8.18,114.32,81.5,4.9
56.95,24.1,60.8,4.3
33.87,35.51,82.4,4.3
-29.32,27.48,46.4,3.6
6.31,-10.8,73.9,4.3
18.78,100.78,78.8,2.2
47.13,9.52,53.6,2.2
54.68,25.32,71.6,9.4
49.61,6.13,51.8,2.2
-18.92,47.52,57.2,12.5
-13.98,33.78,54.1,7.6
3.17,101.7,82.4,2.2
6.15,73.27,81.9,11.0
12.65,-8.0,73.4,2.2
35.9,14.51,73.4,6.9
7.1,171.38,87.8,13.6
18.09,-15.98,82.0,11.0
-20.16,57.5,71.6,8.1
19.43,-99.13,69.8,11.9
6.92,158.15,82.4,6.9
51.7,94.45,70.9,9.4
43.73,7.42,68.0,13.6
47.92,106.92,64.4,2.2
42.44,19.26,64.4,8.1
34.03,-6.84,69.8,5.6
-25.97,32.59,62.6,4.3
16.78,94.73,84.6,5.4
-22.57,17.08,60.8,11.9
39.55,27.62,64.4,2.2
27.72,85.32,73.4,2.2
52.37,4.89,59.0,8.1
-41.3,174.78,55.4,20.6
12.15,-86.27,80.6,2.2
13.52,2.12,84.2,11.9
9.18,7.18,73.4,6.9
39.02,125.75,76.8,4.9
42.0,21.43,60.8,2.2
59.92,10.75,55.4,8.1
23.61,58.59,86.0,4.3
33.7,73.17,78.3,4.7
7.36,134.51,87.8,9.4
-11.18,-67.08,84.2,2.2
8.97,-79.53,84.2,4.3
-9.46,147.19,86.0,11.9
-21.55,-58.12,73.0,4.0
-12.05,-77.05,63.0,10.3
14.6,120.98,87.8,16.1
52.25,21.0,64.4,8.1
38.72,-9.13,66.2,6.9
25.29,51.53,93.2,9.4
44.43,26.1,71.6,4.3
55.75,37.62,57.2,6.9
-1.95,30.06,64.4,5.6
17.3,-62.72,84.2,12.5
14.0,-61.0,82.4,5.6
13.13,-61.22,84.0,19.2
-13.83,-171.73,86.0,5.6
43.93,12.45,64.4,5.6
51.27,4.55,55.4,4.3
24.64,46.77,86.0,6.9
14.67,-17.44,82.0,17.2
44.8,20.47,64.4,3.8
-4.62,55.45,78.8,11.9
8.49,-13.23,74.1,8.3
1.29,103.86,84.2,3.8
48.15,17.12,59.0,15.0
46.06,14.51,57.2,2.2
-9.43,159.95,81.9,2.7
2.07,45.37,75.4,17.0
-25.75,28.19,48.2,6.9
37.57,127.0,77.0,3.8
12.15,24.45,75.2,8.5
40.4,-3.68,64.4,4.3
6.93,79.85,78.8,6.9
15.59,32.53,79.2,30.0
5.83,-55.17,80.6,4.3
59.33,18.05,57.2,2.2
46.92,7.47,50.0,4.3
33.5,36.3,68.0,18.6
38.56,68.77,68.0,2.2
-6.18,35.75,64.4,9.4
13.75,100.52,87.8,4.3
-7.56,112.27,86.2,2.2
43.81,23.24,64.0,3.6
-21.13,-175.2,78.8,17.4
10.65,-61.52,77.0,2.2
36.8,10.18,71.6,3.8
39.93,32.86,64.4,2.2
37.95,58.38,75.2,11.9
-8.52,179.22,83.7,13.9
0.32,32.57,69.8,3.8
49.83,24.0,63.1,2.2
24.47,54.37,89.6,4.3
51.52,-0.11,51.8,5.6
46.6,-120.49,72.0,6.9
-34.86,-56.17,48.2,6.9
41.32,69.25,71.6,2.5
-17.73,168.32,75.2,12.5
10.5,-66.92,87.8,5.6
21.03,105.85,87.8,9.4
15.35,44.21,65.8,2.5
-15.42,28.28,54.5,10.7
-17.82,31.04,46.6,8.5
34.52,69.18,64.6,2.2
41.33,19.82,68.0,2.2
36.76,3.05,73.4,2.5
42.5,1.52,41.2,2.2
-8.84,13.23,71.6,4.3
17.12,-61.85,84.2,9.4
-34.59,-58.67,60.8,2.2
40.18,44.51,69.8,5.6
-35.28,149.22,46.4,4.3
48.2,16.37,62.6,8.1
40.4,49.88,72.5,7.8
25.08,-77.35,87.8,8.1
26.24,50.58,93.2,8.1
23.72,90.41,85.3,2.5
13.1,-59.62,82.4,15.0
53.9,27.57,64.4,9.4
50.83,4.33,51.8,8.1
17.25,-88.77,84.2,3.8
6.48,2.62,78.8,11.9
27.48,89.6,51.6,2.2
-19.04,-65.26,67.1,5.8
43.85,18.38,55.4,2.2
-24.65,25.91,50.0,9.4
-2.08,-58.17,90.1,2.9
4.88,114.93,78.8,4.3
42.68,23.32,60.8,2.2
12.37,-1.52,75.4,11.0
-3.38,29.36,72.7,2.2
-24.37,46.45,60.4,4.7
14.93,-23.51,80.6,9.4
11.55,104.92,82.4,2.2
5.47,10.42,62.8,3.4
45.42,-75.7,60.8,17.4
4.37,18.58,77.0,2.2
12.11,15.05,80.6,3.8
-33.45,-70.67,57.2,8.1
39.93,116.39,69.8,4.3
43.32,24.7,68.4,2.7
-11.7,43.24,69.4,7.4
-4.26,15.28,80.8,6.7
9.97,-84.08,77.0,5.6
45.8,16.0,62.6,5.6
23.13,-82.36,87.8,10.5
35.17,33.37,77.0,2.2
50.08,14.47,57.2,9.4
-4.3,15.3,79.9,6.3
55.67,12.58,57.2,2.5
11.6,43.15,90.5,8.1
15.3,-61.4,78.8,2.5
18.47,-69.9,84.2,5.6
-0.22,-78.5,63.5,5.1
30.05,31.25,82.4,5.6
13.71,-89.2,86.0,4.3
3.75,8.78,76.3,8.9
15.33,38.93,64.0,4.0
59.43,24.73,64.4,4.3
-26.32,31.13,50.9,3.1
9.03,38.7,55.4,5.6
-18.13,178.42,78.8,12.5
60.18,24.93,64.4,4.3
48.87,2.33,57.2,2.2
0.38,9.45,77.0,9.4
13.45,-16.58,77.0,2.2
41.73,44.79,66.2,2.2
52.52,13.4,57.2,4.3
5.55,-0.22,78.8,9.4
37.98,23.72,78.8,2.2
12.05,-61.75,84.2,12.5
14.62,-90.53,77.0,6.9
9.51,-13.71,80.6,2.2
11.85,-15.58,77.0,2.2
6.8,-58.17,82.4,4.3
18.54,-72.34,81.9,2.2
41.9,12.45,68.0,5.6
14.1,-87.22,84.2,3.8
47.5,19.08,59.0,4.3
63.83,-20.4,50.4,11.9
28.6,77.2,84.2,2.2
-6.21,106.85,75.2,3.8
35.73,51.33,73.4,11.9
33.34,44.39,87.8,2.5
53.33,-6.25,55.4,3.8
31.78,35.23,77.0,2.2
41.9,12.48,68.0,5.6
17.97,-76.75,89.6,19.2
35.69,139.69,86.0,8.1
31.95,35.93,75.2,2.2
51.18,71.43,46.4,16.1
-1.28,36.82,62.6,4.3
-0.88,169.53,84.4,9.6
29.37,47.96,94.5,11.9
42.87,74.6,59.9,5.8
-8.18,114.32,69.1,2.7
56.95,24.1,66.2,4.3
33.87,35.51,80.6,4.3
-29.32,27.48,51.1,2.2
6.31,-10.8,78.8,2.2
18.78,100.78,77.0,2.5
47.13,9.52,60.8,2.2
54.68,25.32,66.2,10.5
49.61,6.13,50.0,8.1
-18.92,47.52,55.4,12.5
-13.98,33.78,55.4,6.9
3.17,101.7,78.8,2.2
6.15,73.27,78.8,20.1
12.65,-8.0,78.8,2.5
35.9,14.51,75.2,8.1
7.1,171.38,87.8,5.6
18.09,-15.98,79.3,19.0
-20.16,57.5,69.8,9.4
19.43,-99.13,75.2,23.0
6.92,158.15,84.2,3.8
51.7,94.45,67.5,4.0
43.73,7.42,68.0,8.1
47.92,106.92,50.0,2.2
42.44,19.26,66.2,6.9
34.03,-6.84,64.4,2.2
-25.97,32.59,62.6,3.8
16.78,94.73,77.9,3.6
-22.57,17.08,60.8,4.3
39.55,27.62,73.4,4.3
27.72,85.32,71.6,2.2
52.37,4.89,55.4,9.4
-41.3,174.78,57.2,23.0
12.15,-86.27,93.2,6.9
13.52,2.12,75.2,9.4
9.18,7.18,75.2,2.5
39.02,125.75,68.2,2.2
42.0,21.43,66.2,3.8
59.92,10.75,55.4,13.6
23.61,58.59,84.2,2.2
33.7,73.17,78.3,6.3
7.36,134.51,84.2,5.6
-11.18,-67.08,88.0,2.2
8.97,-79.53,86.0,17.4
-9.46,147.19,80.6,17.4
-21.55,-58.12,84.6,2.5
-12.05,-77.05,65.7,11.0
14.6,120.98,77.0,2.2
52.25,21.0,60.8,6.9
38.72,-9.13,66.2,13.6
25.29,51.53,93.2,4.3
44.43,26.1,68.0,3.8
55.75,37.62,55.4,4.3
-1.95,30.06,68.0,4.3
17.3,-62.72,84.2,11.9
14.0,-61.0,82.4,8.1
13.13,-61.22,84.0,15.9
-13.83,-171.73,84.2,6.9
43.93,12.45,62.6,2.2
51.27,4.55,51.8,5.6
24.64,46.77,87.8,3.8
14.67,-17.44,80.6,16.1
44.8,20.47,60.8,6.9
-4.62,55.45,78.8,10.5
8.49,-13.23,80.6,4.3
1.29,103.86,82.4,4.3
48.15,17.12,59.0,4.3
46.06,14.51,57.2,3.8
-9.43,159.95,82.4,2.2
2.07,45.37,75.6,13.0
-25.75,28.19,55.4,5.6
37.57,127.0,71.6,2.5
12.15,24.45,69.6,6.3
40.4,-3.68,69.8,2.2
6.93,79.85,78.8,9.4
15.59,32.53,83.7,17.0
5.83,-55.17,84.2,9.4
59.33,18.05,51.8,4.3
46.92,7.47,55.4,2.2
33.5,36.3,73.4,10.5
38.56,68.77,75.2,6.9
-6.18,35.75,66.0,9.2
13.75,100.52,80.6,3.8
-7.56,112.27,69.4,5.8
43.81,23.24,73.0,4.9
-21.13,-175.2,78.8,16.1
10.65,-61.52,84.2,4.3
36.8,10.18,75.2,2.2
39.93,32.86,69.8,2.2
37.95,58.38,66.2,2.5
-8.52,179.22,91.4,6.9
0.32,32.57,68.0,4.3
49.83,24.0,60.4,6.0
24.47,54.37,91.4,2.2
51.52,-0.11,55.4,2.2
46.6,-120.49,80.1,15.0
-34.86,-56.17,59.0,3.8
41.32,69.25,66.2,4.3
-17.73,168.32,82.4,5.6
10.5,-66.92,86.0,2.5
21.03,105.85,77.0,3.8
15.35,44.21,64.0,3.8
-15.42,28.28,59.2,5.8
-17.82,31.04,52.2,6.9
34.52,69.18,66.6,2.2
41.33,19.82,62.6,3.8
36.76,3.05,71.6,4.3
42.5,1.52,46.6,2.2
